od	56297
ub	56274
_da	56239
så	56122
ba	56021
e_e	56013
_in	55633
som	55503
us	55501
els	55157
und	55155
væ	54937
io	54531
hv	54452
nd_	54352
pr	54346
e_t	54256
pu	54007
_ve	53986
no	53341
cer	52833
ens	52536
_se	52340
ft	52083
nin	52080
t_e	51801
_ud	51789
kt	51481
e_a	51453
ent	51331
_om	51012
r_o	51007
_ik	50560
ku	50500
lo	50443
ek	50328
ang	50270
br	50047
ber	50042
ner	49978
_ka	49554
lan	49444
r_m	49325
ska	49212
ice	48998
e_b	48975
t_a	48838
ove	48678
lt	48365
na	48145
age	48025
ser	47958
e_d	47957
ten	47881
ss	47662
as	47645
v_	47577
fa	47509
ubl	47426
pub	47276
så_	47230
lse	46791
bo	46746
ive	46702
kl	46266
lic	46240
dag	46079
fra	46022
mo	46018
ga	45914
t_i	45794
e_p	45739
sl	45518
mer	45202
ker	45106
kom	44948
ur	44829
nn	44760
_hv	44707
est	44649
år_	44425
t_d	44178
_va	44064
po	44014
ill	43772
ren	43584
ag_	43558
ion	43534
e_h	43318
_he	43227
n_f	43112
vo	42850
ts	42821
_op	42815
_sa	42647
var	42575
r_h	42420
ef	42412
dt_	42340
e_k	42203
vær	42138
ul	42083
_re	41948
ene	41857
rg	41674
se_	41625
del	41423
ra_	41262
omm	41120
_et	41053
han	40989
res	40872
_an	40810
sig	40724
ans	40555
pa	40173
e_v	40160
gr	39951
_al	39403
lev	39251
ræ	39158
hed	39005
get	38922
fte	38654
_no	38453
ist	38260
old	38175
fi	38141
ns_	38088
r_b	37993
eri	37924
ok	37834
al_	37742
dan	37731
læ	37647
ir	37442
nne	37423
ød	37311
eb	37290
kan	37115
kal	36906
fe	36790
r_p	36782
ve_	36733
n_i	36714
rin	36430
lde	36372
rb	36360
r_k	36228
g_s	36134
ks	36051
_væ	35847
_la	35714
bi	35670
_mi	35659
r_t	35617
æn	35574
mu	35562
rm	35549
sta	35480
os	35174
fø	35156
t_h	35118
_tr	35101
t_o	35043
hu	34959
ers	34646
nte	34630
ord	34547
isk	34490
t_m	34456
ny	34453
nu	34423
red	34397
t_t	34261
ære	34234
u_	34184
æl	34124
n_o	34066
ak	33962
n_a	33858
ort	33460
_c	33384
st_	33086
ble	33044
igt	33039
dre	32743
hol	32669
r_v	32652
rl	32576
ide	32551
gt_	32464
ved	32213
t_v	32177
rer	32176
vis	32025
_fa	31944
lø	31933
t_b	31922
gi	31766
vil	31439
ty	31410
n_m	31388
vor	31351
ale	31273
_så	31191
ell	31121
_pr	31096
p_	31068
_li	30997
str	30979
n_e	30908
tor	30840
_å	30735
rke	30693
ken	30631
_ny	30585
mb	30564
ati	30540
lu	30036
hav	30012
iti	29969
pl	29863
rig	29739
t_k	29619
n_d	29616
tio	29513
t_p	29498
l_a	29469
by	29329
n_h	29230
ore	29073
rø	29064
n_t	28874
_mo	28764
one	28641
_ba	28518
ab	28496
i_d	28465
all	28410
dl	28314
sti	28217
sto	28207
ven	28113
g_d	28108
ug	27926
ot	27839
_kr	27772
kon	27682
_ov	27675
ly	27655
_sp	27525
n_v	27256
åd	27214
n_b	27207
_ku	27177
ors	27150
eve	27119
g_f	27099
_to	27074
sm	27033
ege	27017
i_s	26992
sam	26954
oli	26812
sse	26807
sø	26795
pi	26762
ave	26757
